datadate,Cum_PORT_ret
2016-05-06,0.99847
2016-05-09,0.99910003457
2016-05-10,0.9995496295855565
2016-05-11,0.9995496295855565
2016-05-12,0.9986500349189295
2016-05-13,1.000539480784996
2016-05-16,0.9988295588123346
2016-05-17,0.9974801400783792
2016-05-18,0.993341594977194
2016-05-19,0.9939713735484096
2016-05-20,0.9946015513992393
2016-05-23,0.9944215285184361
2016-05-24,0.9938815576284507
2016-05-25,0.9940614501903814
2016-05-26,0.9955913107622243
2016-05-27,0.9954111087349763
2016-05-31,0.9960412039668056
2016-06-01,0.9954844169337882
2016-06-02,0.9980089654151324
2016-06-03,1.0034181740076824
2016-06-06,1.00206556630912
2016-06-07,1.0029674253187981
2016-06-08,1.003328493591913
2016-06-09,1.0040498867788055
2016-06-10,1.0054023419762965
2016-06-13,1.0062137016662713
2016-06-14,1.0057629179279248
2016-06-15,1.0079263139643877
2016-06-16,1.0085572758369294
2016-06-17,1.007836157384706
2016-06-20,1.0050414277202784
2016-06-21,1.0043198079751752
2016-06-22,1.0049505208145837
2016-06-23,1.0032370801765949
2016-06-24,1.0084659518384753
2016-06-27,1.0127035257681005
2016-06-28,1.0139653543612077
2016-06-29,1.013244424994257
2016-06-30,1.0152729403330956
2016-07-01,1.0175045102559477
2016-07-05,1.0202141247667593
2016-07-06,1.0221107028247007
2016-07-07,1.0213880705578036
2016-07-08,1.022923216827852
2016-07-11,1.020213493226475
2016-07-12,1.0171426506118635
2016-07-13,1.0175886676641568
2016-07-14,1.0195856854244478
2016-07-15,1.017177933828318
2016-07-18,1.0188756037998774
2016-07-19,1.0187268479617226
2016-07-20,1.0209904590178935
2016-07-21,1.019425280644219
2016-07-22,1.0219544747654972
2016-07-25,1.020033200352938
2016-07-26,1.0205845282977288
2016-07-27,1.0214857044362158
2016-07-28,1.0220842950590154
2016-07-29,1.0246395057966629
2016-08-01,1.0227562183850085
2016-08-02,1.017396464422562
2016-08-03,1.0198290593689963
2016-08-04,1.0213802193682966
2016-08-05,1.0238902612573941
2016-08-08,1.0238892373671329
2016-08-09,1.0256697807509143
2016-08-10,1.0247497549575808
2016-08-11,1.0259563977940434
2016-08-12,1.0266858527928748
2016-08-15,1.0276524775232792
2016-08-16,1.0244081786517383
2016-08-17,1.0260067676145244
2016-08-18,1.028339394000696
2016-08-19,1.0264662737945236
2016-08-22,1.027379315545064
2016-08-23,1.028890076828573
2016-08-24,1.025825527734739
2016-08-25,1.0249581922510391
2016-08-26,1.023083543717412
2016-08-29,1.0272930209580373
2016-08-30,1.026194844718633
2016-08-31,1.0246370809443501
2016-09-01,1.025356376175173
2016-09-02,1.027288147587887
2016-09-06,1.0298496905838974
2016-09-07,1.030810025420367
2016-09-08,1.027699556168661
2016-09-09,1.0126396468725656
2016-09-12,1.0201346992188929
2016-09-13,1.0107800640270557
2016-09-14,1.011460824400178
2016-09-15,1.0169778374668685
2016-09-16,1.0153089768355854
2016-09-19,1.0156414905254991
2016-09-20,1.0155922319132087
2016-09-21,1.0226962995754416
